task_id,dataset_id,disease_family,artifact_id,model_family,backbone,role_candidates,legacy_source,legacy_prediction_path,legacy_baseline_path,legacy_routing_path,legacy_risk_path,legacy_case_audit_path,legacy_cost_path,checkpoint_path,checkpoint_status,config_path,config_status,class_to_idx_path,class_to_idx_status,data_root,data_status,adapter_id,adapter_status,can_onboard,onboarding_status,legacy_artifact_available,missing_reason,notes
aptos_dr_5class,APTOS2019,diabetic_retinopathy,convnext_tiny,convnext,convnext_tiny,scout|expert,v083_dr_replay,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_convnext_tiny/lr1e-4_bs32_seed42/evaluation/test/test_predictions.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/model_baselines.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/routing_results.csv,,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/case_audit.csv,,experiments/aptos_convnext_tiny/lr1e-4_bs32_seed42/checkpoints/convnext_tiny_best.pth,found,experiments/aptos_convnext_tiny/lr1e-4_bs32_seed42/configs/config.json,found,experiments/aptos_convnext_tiny/lr1e-4_bs32_seed42/configs/class_to_idx.json,found,,unknown,timm_classifier_v1,available,false,incomplete_metadata,true,data_root_or_input_csv_required,服务器已确认 checkpoint 存在；data_root/input_csv 待确认后再启用真实 adapter
aptos_dr_5class,APTOS2019,diabetic_retinopathy,retfound_green_linear_probe,retfound_green,retfound_green,expert,v083_dr_replay,,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/model_baselines.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/routing_results.csv,,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/case_audit.csv,,,unknown,,unknown,,unknown,,unknown,retfound_adapter_v1,needs_loader_audit,false,needs_loader_audit,true,needs_loader_audit,从 v083_dr_replay baseline 发现
aptos_dr_5class,APTOS2019,diabetic_retinopathy,retfound_mae_cfp_official_like,retfound,retfound_mae_cfp,expert,repo_experiments_scan,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_retfound_mae_cfp_official_like/official_like_bs32_epoch50_seed42/evaluation/test/test_predictions.csv,,,,,,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_retfound_mae_cfp_official_like/official_like_bs32_epoch50_seed42/checkpoints/retfound_mae_cfp_best.pth,found,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_retfound_mae_cfp_official_like/official_like_bs32_epoch50_seed42/configs/config.json,found,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_retfound_mae_cfp_official_like/official_like_bs32_epoch50_seed42/configs/class_to_idx.json,found,,unknown,retfound_adapter_v1,needs_loader_audit,false,needs_loader_audit,true,needs_loader_audit,从实际 prediction 文件扫描发现
aptos_dr_5class,APTOS2019,diabetic_retinopathy,retfound_mae_cfp_official_protocol,retfound,retfound_mae_cfp,expert,v083_dr_replay,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_retfound_mae_cfp_official_protocol/official_protocol_bs24_epoch50_seed0/evaluation/test/test_predictions.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/model_baselines.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/routing_results.csv,,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/case_audit.csv,,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_retfound_mae_cfp_official_protocol/official_protocol_bs24_epoch50_seed0/checkpoints/checkpoint-best.pth,found,,unknown,,unknown,,unknown,retfound_adapter_v1,needs_loader_audit,false,needs_loader_audit,true,needs_loader_audit,从 v083_dr_replay baseline 发现
aptos_dr_5class,APTOS2019,diabetic_retinopathy,swin_tiny,swin,swin_tiny_patch4_window7_224,scout|expert,v083_dr_replay,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_swin_tiny/lr1e-4_bs32_seed42/evaluation/test/test_predictions.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/model_baselines.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/routing_results.csv,,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/case_audit.csv,,experiments/aptos_swin_tiny/lr1e-4_bs32_seed42/checkpoints/swin_tiny_patch4_window7_224.ms_in1k_best.pth,found,experiments/aptos_swin_tiny/lr1e-4_bs32_seed42/configs/config.json,found,experiments/aptos_swin_tiny/lr1e-4_bs32_seed42/configs/class_to_idx.json,found,,unknown,timm_classifier_v1,available,false,incomplete_metadata,true,data_root_or_input_csv_required,服务器已确认 checkpoint 存在；data_root/input_csv 待确认
aptos_dr_5class,APTOS2019,diabetic_retinopathy,vit_b_imagenet,vit,vit_base_patch16_224,scout|expert,v083_dr_replay,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_base_patch16_imagenet/lr1e-4_bs32_seed42/evaluation/test/test_predictions.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/model_baselines.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/routing_results.csv,,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_controlled_runner/outputs/v082c_dr_replay/case_audit.csv,,experiments/aptos_vit_base_patch16_imagenet/lr1e-4_bs32_seed42/checkpoints/vit_base_patch16_best.pth,found,experiments/aptos_vit_base_patch16_imagenet/lr1e-4_bs32_seed42/configs/config.json,found,experiments/aptos_vit_base_patch16_imagenet/lr1e-4_bs32_seed42/configs/class_to_idx.json,found,,unknown,timm_classifier_v1,available,false,incomplete_metadata,true,data_root_or_input_csv_required,服务器已确认 checkpoint 存在；data_root/input_csv 待确认
aptos_dr_5class,APTOS2019,diabetic_retinopathy,vit_b_official_like,vit,vit_base_patch16_224,scout|expert,repo_experiments_scan,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_base_patch16_official_like/official_like_bs32_epoch50_seed42/evaluation/test/test_predictions.csv,,,,,,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_base_patch16_official_like/official_like_bs32_epoch50_seed42/checkpoints/vit_base_patch16_best.pth,found,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_base_patch16_official_like/official_like_bs32_epoch50_seed42/configs/config.json,found,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_base_patch16_official_like/official_like_bs32_epoch50_seed42/configs/class_to_idx.json,found,,unknown,timm_classifier_v1,available,false,incomplete_metadata,true,data_root_or_input_csv_required,从实际 prediction 文件扫描发现
aptos_dr_5class,APTOS2019,diabetic_retinopathy,vit_l_official_like,vit,vit_large_patch16_224,scout|expert,repo_experiments_scan,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_large_patch16_official_like/official_like_bs32_epoch50_seed42/evaluation/test/test_predictions.csv,,,,,,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_large_patch16_official_like/official_like_bs32_epoch50_seed42/checkpoints/vit_large_patch16_best.pth,found,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_large_patch16_official_like/official_like_bs32_epoch50_seed42/configs/config.json,found,/data/LRT/ophagent-medical-ai-agent/experiments/aptos_vit_large_patch16_official_like/official_like_bs32_epoch50_seed42/configs/class_to_idx.json,found,,unknown,timm_classifier_v1,available,false,incomplete_metadata,true,data_root_or_input_csv_required,从实际 prediction 文件扫描发现
glaucoma_3class,Glaucoma_fundus,glaucoma,convnext_tiny_glaucoma_scout,convnext,convnext_tiny,scout,v085_registry_outputs,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_glaucoma_scout_routing/convnext_tiny_glaucoma_scout/imagenet_lr1e-4_bs32_seed42/evaluation/test/test_predictions.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/model_baselines_all.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/routing_results_all.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/risk_results_all.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/case_audit_all.csv,,experiments/v0_8_3_glaucoma_scout_routing/convnext_tiny_glaucoma_scout/imagenet_lr1e-4_bs32_seed42/checkpoints/convnext_tiny_best.pth,found,,unknown,experiments/v0_8_3_glaucoma_scout_routing/convnext_tiny_glaucoma_scout/imagenet_lr1e-4_bs32_seed42/configs/class_to_idx.json,found,,unknown,timm_classifier_v1,available,false,incomplete_metadata,true,data_root_or_input_csv_required,服务器已确认 checkpoint 存在；data_root/input_csv 待确认
glaucoma_3class,Glaucoma_fundus,glaucoma,retfound_dinov2_glaucoma_expert,retfound_dinov2,retfound_dinov2,expert,v085_registry_outputs,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_3_glaucoma_scout_routing/retfound_dinov2_glaucoma_expert/evaluation/test/test_predictions.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/model_baselines_all.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/routing_results_all.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/risk_results_all.csv,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/case_audit_all.csv,,,unknown,,unknown,,unknown,,unknown,retfound_adapter_v1,needs_loader_audit,false,needs_loader_audit,true,needs_loader_audit,从 v085_registry_outputs baseline 发现
