record_type,task_id,dataset_id,route_id,scout_id,review_model_id,analysis_split,benchmark_split,policy,requested_human_review_fraction,n_cases,human_review_n,human_review_fraction,automatic_n,automatic_coverage,corrected_retained,introduced_auto,dangerous_introduced_auto,both_wrong_auto_closed,net_retained,automatic_correct_n,automatic_error_n,automatic_accuracy,review_captured_corrected,review_captured_introduced,review_captured_dangerous_introduced,review_captured_both_wrong,human_review_resolution_assumed_correct,current_case_ground_truth_used_for_action,retrospective_outcome_used_for_fit_selection_or_threshold,locked_comparator_policy,comparator_corrected_retained,delta_corrected_retained,comparator_introduced_auto,delta_introduced_auto,comparator_dangerous_introduced_auto,delta_dangerous_introduced_auto,comparator_both_wrong_auto_closed,delta_both_wrong_auto_closed,comparator_net_retained,delta_net_retained,comparator_automatic_error_n,delta_automatic_error_n,net_difference_ci_lower,net_difference_ci_upper,bootstrap_replicates,bootstrap_group_count,outcome,outcome_events,outcome_prevalence,outcome_auroc,outcome_auprc,study_decision,protocol_sha256,source_commit_sha,generated_at_utc
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,corrected,59,0.1216494845,0.9629585422,0.7015646983,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,introduced,34,0.07010309278,0.9304160689,0.423561614,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,both_wrong,28,0.05773195876,0.7199124726,0.1151007227,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,corrected,107,0.1032818533,0.9505548122,0.6839257466,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,introduced,79,0.07625482625,0.9268547544,0.5063308683,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,both_wrong,73,0.07046332046,0.7808219178,0.1577093102,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,corrected,55,0.1134020619,0.9602536998,0.6923763052,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,introduced,28,0.05773195876,0.9374804626,0.4440145718,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,both_wrong,39,0.08041237113,0.7116821893,0.1674942452,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,corrected,109,0.1052123552,0.9571766476,0.6584976944,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,introduced,42,0.04054054054,0.8993963783,0.2555877202,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__retfound_cfp,retfound_green,retfound_cfp,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,both_wrong,111,0.1071428571,0.7811249087,0.2519493938,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,corrected,57,0.1175257732,0.9640514838,0.6818352014,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,introduced,25,0.05154639175,0.9037391304,0.2286185737,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,development_oof,development,,,485,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,both_wrong,37,0.07628865979,0.7016771236,0.1523758653,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,corrected,116,0.111969112,0.9532983508,0.6671522153,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,introduced,48,0.04633204633,0.901231444,0.261683444,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
outcome_discrimination,aptos_dr_5class,APTOS2019,aptos_dr_5class::retfound_green__to__swin_tiny,retfound_green,swin_tiny,retrospective_evaluation,retrospective_frozen,,,1036,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,both_wrong,104,0.1003861004,0.7705203863,0.2618920856,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
policy_performance,aptos_dr_5class,APTOS2019,aptos_dr_5class::flair__to__swin_tiny,flair,swin_tiny,development_oof,development,always_adopt_review,0.05,485,24,0.04948453608,461,0.9505154639,55,28,12,21,27,412,49,0.8937093275,4,6,3,7,False,False,False,higher_confidence,48,7,23,5,10,2,23,-2,25,2,50,-1,,,,,,,,,,NO_SIGNAL,2f59bd1be60f0821bed0703a14d2a96760f8e9cf18d1165351a1c30c47c89abb,7044f5978a557f5b391b95c88ad08a89cc492b63,2026-07-30T12:57:04+08:00
