image_key,true_label,n_correct_models,n_error_models,oracle_correct,convnext_tiny_pred,convnext_tiny_correct,retfound_green_linear_probe_pred,retfound_green_linear_probe_correct,retfound_mae_cfp_official_like_pred,retfound_mae_cfp_official_like_correct
01eb826f6467,2,1,2,True,2,True,4,False,4,False
03e25101e8e8,1,1,2,True,1,True,3,False,2,False
069f43616fab,3,1,2,True,4,False,3,True,4,False
07a1c7073982,1,1,2,True,1,True,2,False,2,False
08a3875063c3,4,1,2,True,2,False,4,True,2,False
0bf37ca3156a,4,1,2,True,3,False,3,False,4,True
0e75d51152fc,2,1,2,True,1,False,2,True,0,False
0fffa73e2402,2,1,2,True,1,False,1,False,2,True
1120f6d08d95,2,1,2,True,1,False,1,False,2,True
11242a67122d,4,1,2,True,2,False,4,True,2,False
14e3f84445f7,3,1,2,True,3,True,4,False,4,False
15cd5f52d300,2,1,2,True,3,False,3,False,2,True
18323d8f2470,2,1,2,True,3,False,3,False,2,True
191a711852bd,3,1,2,True,3,True,4,False,4,False
1ae8c165fd53,2,1,2,True,1,False,2,True,1,False
1c47815f4a6b,0,1,2,True,0,True,1,False,2,False
203275daf46d,2,1,2,True,1,False,2,True,1,False
20688cb25704,2,1,2,True,2,True,1,False,4,False
299086c6d1b5,3,1,2,True,3,True,2,False,2,False
2c2aa057afc5,2,1,2,True,2,True,4,False,4,False
2d07162a13b1,0,1,2,True,0,True,2,False,2,False
2f5c9cdfb333,2,1,2,True,3,False,3,False,2,True
3218a6d8eb2c,3,1,2,True,3,True,4,False,4,False
33105f9b3a04,1,1,2,True,2,False,1,True,2,False
383e72af1955,3,1,2,True,2,False,3,True,2,False
3a61e690f4bb,2,1,2,True,3,False,4,False,2,True
3b018e8b7303,3,1,2,True,4,False,3,True,2,False
3b185ac445d0,4,1,2,True,2,False,3,False,4,True
3c72f580d4ba,1,1,2,True,1,True,2,False,0,False
3ddb86eb530e,2,1,2,True,4,False,3,False,2,True
3ee4841936ef,4,1,2,True,1,False,1,False,4,True
4c3c1ed09771,1,1,2,True,1,True,2,False,2,False
4c60b10a3a6a,3,1,2,True,2,False,3,True,2,False
4dd71fc7f22b,4,1,2,True,3,False,3,False,4,True
51d0034d177d,2,1,2,True,2,True,3,False,4,False
51d780864365,2,1,2,True,2,True,4,False,4,False
523b3f0fc646,1,1,2,True,0,False,1,True,0,False
55034b1dbff2,2,1,2,True,1,False,2,True,1,False
5548a7961a3e,1,1,2,True,1,True,0,False,2,False
582115961a3d,1,1,2,True,2,False,1,True,4,False
5cab3ef4b31c,1,1,2,True,1,True,3,False,2,False
6194e0fff071,4,1,2,True,3,False,3,False,4,True
61bbc11fe503,4,1,2,True,2,False,2,False,4,True
61da799bf0aa,0,1,2,True,1,False,0,True,1,False
6253f23229b1,3,1,2,True,2,False,3,True,2,False
63c3c571b8ee,2,1,2,True,3,False,3,False,2,True
664b1f9a2087,4,1,2,True,2,False,2,False,4,True
67c03349bb31,2,1,2,True,0,False,2,True,0,False
69591ebb198d,2,1,2,True,1,False,2,True,1,False
6b07971c3bf6,1,1,2,True,1,True,0,False,0,False
6ea07d19b4ce,1,1,2,True,1,True,2,False,2,False
6efa36d59ada,3,1,2,True,1,False,3,True,2,False
6fe67482bfae,4,1,2,True,2,False,4,True,2,False
71f6a6e4620a,1,1,2,True,1,True,3,False,2,False
7356dd08b0ae,2,1,2,True,3,False,3,False,2,True
753b14c27c83,4,1,2,True,1,False,4,True,1,False
7663aba8d762,2,1,2,True,2,True,1,False,1,False
78bcdffb8785,1,1,2,True,2,False,1,True,2,False
7b20210d9120,1,1,2,True,2,False,1,True,2,False
7b691d9ced34,0,1,2,True,0,True,1,False,1,False
7c90ab025331,4,1,2,True,2,False,4,True,2,False
7e0598cc88a0,4,1,2,True,1,False,3,False,4,True
7e9458de5707,2,1,2,True,1,False,2,True,4,False
84a72e15b23c,1,1,2,True,2,False,1,True,2,False
85cc6d636898,2,1,2,True,2,True,1,False,1,False
86b3a7929bec,2,1,2,True,2,True,3,False,4,False
873fe0404d6e,2,1,2,True,1,False,4,False,2,True
875a2fc5fe23,4,1,2,True,3,False,3,False,4,True
8bc6716c2238,1,1,2,True,1,True,2,False,2,False
8bdb891661a8,2,1,2,True,0,False,0,False,2,True
91cbe1c775ef,2,1,2,True,1,False,2,True,1,False
929cd3867815,2,1,2,True,0,False,1,False,2,True
94ef1d14597f,4,1,2,True,2,False,4,True,2,False
975252e325e3,2,1,2,True,1,False,1,False,2,True
9b093fe95d6b,3,1,2,True,2,False,3,True,2,False
9b32e8ef0ca0,2,1,2,True,2,True,1,False,4,False
9e3510963315,4,1,2,True,2,False,3,False,4,True
9f4132bd6ed6,2,1,2,True,1,False,2,True,0,False
9fab29e69a6b,4,1,2,True,3,False,2,False,4,True
a11bf2edd470,4,1,2,True,1,False,3,False,4,True
a2ddabee14e9,4,1,2,True,1,False,2,False,4,True
a7b0d0c51731,2,1,2,True,1,False,2,True,1,False
a8b637abd96b,0,1,2,True,0,True,1,False,1,False
ab1c20a94f3f,4,1,2,True,2,False,4,True,2,False
ae8424cdb029,2,1,2,True,1,False,1,False,2,True
b187b3c93afb,2,1,2,True,2,True,3,False,4,False
b2748ac28fc1,2,1,2,True,3,False,4,False,2,True
b2ffa3e18559,3,1,2,True,3,True,4,False,4,False
b35cad8fe2d7,0,1,2,True,0,True,1,False,2,False
b87f9c59748b,4,1,2,True,3,False,2,False,4,True
b96b518596b3,4,1,2,True,3,False,3,False,4,True
bfaa0080ab61,2,1,2,True,1,False,1,False,2,True
c6a145742708,4,1,2,True,2,False,2,False,4,True
c9f0dc2c8b43,2,1,2,True,3,False,3,False,2,True
cd3fd04d72f5,2,1,2,True,2,True,4,False,4,False
cd9e2190c73f,2,1,2,True,1,False,3,False,2,True
ce207b69ff37,3,1,2,True,3,True,2,False,2,False
cf0575534cec,1,1,2,True,2,False,1,True,2,False
cf603a9ef2d5,1,1,2,True,2,False,2,False,1,True
d0ffa0425ef1,3,1,2,True,2,False,3,True,4,False
d144144a2f3f,2,1,2,True,1,False,1,False,2,True
d15ca3469b87,2,1,2,True,1,False,1,False,2,True
d18aea8238a0,2,1,2,True,1,False,1,False,2,True
d83c3efade75,2,1,2,True,1,False,2,True,1,False
e12b67835e03,2,1,2,True,2,True,0,False,0,False
e1900014dabf,3,1,2,True,2,False,3,True,2,False
e38f3a65b02b,1,1,2,True,1,True,2,False,2,False
e7a372a1c3a4,2,1,2,True,2,True,1,False,1,False
ee1ec90b980f,4,1,2,True,2,False,2,False,4,True
f025f33b2c9b,4,1,2,True,3,False,3,False,4,True
f69835dc7c50,4,1,2,True,3,False,3,False,4,True
f80118bbda18,2,1,2,True,1,False,1,False,2,True
f901d460517c,3,1,2,True,2,False,3,True,2,False
fdd534271f3d,4,1,2,True,3,False,3,False,4,True
ff77e8e5b5f3,2,1,2,True,1,False,1,False,2,True
00e4ddff966a,2,2,1,True,1,False,2,True,2,True
0180bfa26c0b,2,2,1,True,2,True,2,True,4,False
03676c71ed1b,2,2,1,True,2,True,1,False,2,True
0369f3efe69b,1,2,1,True,1,True,1,True,2,False
03ff7d159f10,2,2,1,True,1,False,2,True,2,True
06024377d573,2,2,1,True,2,True,3,False,2,True
070f67572d03,3,2,1,True,3,True,3,True,4,False
0790515cf5af,0,2,1,True,0,True,2,False,0,True
07929d32b5b3,1,2,1,True,1,True,1,True,2,False
0a85a1e8f9e9,0,2,1,True,0,True,1,False,0,True
0afdfe5f422c,2,2,1,True,2,True,2,True,1,False
0cbcc7b23613,0,2,1,True,0,True,2,False,0,True
0d0a21fd354f,2,2,1,True,1,False,2,True,2,True
0dbaa09a458c,2,2,1,True,2,True,3,False,2,True
0e82bcacc475,4,2,1,True,3,False,4,True,4,True
0edadb2aa127,3,2,1,True,3,True,3,True,4,False
103f97a2ab15,0,2,1,True,0,True,0,True,2,False
10eefba568dd,2,2,1,True,1,False,2,True,2,True
1116271db4ea,1,2,1,True,1,True,1,True,2,False
