clinical_event,review_budget,ranking_method,best_backbone_count
any_undergrading,0.05,expected_gap_only,3
any_undergrading,0.05,top2_more_severe_only,2
any_undergrading,0.05,gated_severe_prob_mass_only,1
any_undergrading,0.1,expected_gap_only,4
any_undergrading,0.1,gated_severe_prob_mass_only,1
any_undergrading,0.1,top2_more_severe_only,1
any_undergrading,0.2,top2_more_severe_only,4
any_undergrading,0.2,expected_gap_only,2
any_undergrading,0.3,top2_more_severe_only,5
any_undergrading,0.3,expected_gap_only,1
general_error,0.05,expected_gap_only,2
general_error,0.05,top2_more_severe_only,2
general_error,0.05,gated_severe_prob_mass_only,1
general_error,0.05,ophagent_combined,1
general_error,0.1,expected_gap_only,3
general_error,0.1,expected_grade_only,2
general_error,0.1,ophagent_combined,1
general_error,0.2,severe_prob_mass_only,3
general_error,0.2,ophagent_combined,2
general_error,0.2,expected_gap_only,1
general_error,0.3,ophagent_combined,4
general_error,0.3,severe_prob_mass_only,2
high_confidence_vision_threatening_miss,0.05,expected_gap_only,4
high_confidence_vision_threatening_miss,0.05,gated_severe_prob_mass_only,2
high_confidence_vision_threatening_miss,0.1,expected_gap_only,3
high_confidence_vision_threatening_miss,0.1,gated_severe_prob_mass_only,3
high_confidence_vision_threatening_miss,0.2,expected_gap_only,3
high_confidence_vision_threatening_miss,0.2,gated_severe_prob_mass_only,3
high_confidence_vision_threatening_miss,0.3,gated_severe_prob_mass_only,4
high_confidence_vision_threatening_miss,0.3,expected_gap_only,1
high_confidence_vision_threatening_miss,0.3,expected_grade_only,1
large_undergrading,0.05,expected_gap_only,4
large_undergrading,0.05,gated_severe_prob_mass_only,1
large_undergrading,0.05,ophagent_combined,1
large_undergrading,0.1,expected_gap_only,4
large_undergrading,0.1,gated_severe_prob_mass_only,2
large_undergrading,0.2,expected_gap_only,4
large_undergrading,0.2,gated_severe_prob_mass_only,1
large_undergrading,0.2,ophagent_combined,1
large_undergrading,0.3,expected_gap_only,3
large_undergrading,0.3,gated_severe_prob_mass_only,2
large_undergrading,0.3,top2_more_severe_only,1
referable_dr_miss,0.05,expected_gap_only,3
referable_dr_miss,0.05,top2_more_severe_only,3
referable_dr_miss,0.1,expected_gap_only,4
referable_dr_miss,0.1,top2_more_severe_only,2
referable_dr_miss,0.2,expected_gap_only,3
referable_dr_miss,0.2,top2_more_severe_only,3
referable_dr_miss,0.3,expected_gap_only,4
referable_dr_miss,0.3,top2_more_severe_only,2
vision_threatening_dr_miss,0.05,gated_severe_prob_mass_only,6
vision_threatening_dr_miss,0.1,gated_severe_prob_mass_only,5
vision_threatening_dr_miss,0.1,ophagent_combined,1
vision_threatening_dr_miss,0.2,gated_severe_prob_mass_only,6
vision_threatening_dr_miss,0.3,gated_severe_prob_mass_only,6
