source_id,task_id,dataset_id,disease_family,file_type,file_path,exists,n_rows,columns,notes
v085_registry_outputs,mixed,mixed,mixed,registered_tasks,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/registered_tasks.csv,true,2,task_id|disease_family|dataset_id|dataset_display_name|dataset_source|dataset_url|provenance_status|label_space|num_classes|label_structure|data_root|primary_metric|display_metrics|risk_mode|source_schema|risk_source_mode|source_output_dir|enabled|notes,
v085_registry_outputs,mixed,mixed,mixed,registered_models,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/registered_models.csv,true,4,artifact_id|task_id|model_family|role_candidates|prediction_source|baseline_source|cost_profile_id|cost_source|source_version|pretraining_source|enabled|notes,
v085_registry_outputs,mixed,mixed,mixed,route_protocol_summary,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/route_protocol_summary.csv,true,2,protocol_id|task_id|disease_family|dataset_id|source_schema|risk_source_mode|scout_artifact_id|expert_artifact_id|enabled|n_routing_rows|best_non_oracle_policy_by_macro_f1|best_non_oracle_budget|best_non_oracle_accuracy|best_non_oracle_macro_f1|best_non_oracle_cost_status|best_non_oracle_estimated_forward_ms_per_image|has_risk_events|has_cost_profile|notes,
v085_registry_outputs,mixed,mixed,mixed,model_baselines,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/model_baselines_all.csv,true,7,source_protocol|source_output_dir|dataset_id|disease_family|protocol_id|task_id|artifact_id|role|model_family|split|n_images|accuracy|macro_f1|macro_auroc_ovr|macro_aupr_ovr|n_error|cost_status|estimated_forward_ms_per_image|images_per_second|checkpoint_mb|cost_profile_id|mean_ms_per_image|median_ms_per_image|std_ms_per_image|cv_ms_per_image|n_repeats|peak_allocated_memory_mb|timing_scope|timing_source|name|qwk|mean_confidence|mean_margin|mean_entropy|relative_forward_cost_vs_fastest_model|relative_forward_cost_vs_expert|batch_size|device,
v085_registry_outputs,mixed,mixed,mixed,routing_results,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/routing_results_all.csv,true,58,source_protocol|source_output_dir|dataset_id|disease_family|protocol_id|task_id|split|method_kind|protocol_name|scout_artifact|expert_artifact|budget|policy|selected_n|expert_call_rate|non_deployable|accuracy|macro_f1|macro_auroc_ovr|macro_aupr_ovr|n_error|accuracy_ci_low|accuracy_ci_high|cost_status|estimated_forward_ms_per_image|relative_forward_cost_vs_expert_only|forward_cost_reduction_vs_expert_only|protocol_family|role|scouts|experts|ms_per_image|qwk|above_random_p975|random_accuracy_p975|oracle_accuracy|gap_to_oracle_accuracy|large_undergrading_event_total_fixed_pool|referable_miss_event_total_fixed_pool|severe_pdr_miss_event_total_fixed_pool|large_undergrading_selected_event_n|referable_miss_selected_event_n|severe_pdr_miss_selected_event_n|large_undergrading_residual_event_n|referable_miss_residual_event_n|severe_pdr_miss_residual_event_n|large_undergrading_event_recall_fixed_pool|referable_miss_event_recall_fixed_pool|severe_pdr_miss_event_recall_fixed_pool|large_undergrading_event_precision_fixed_pool|referable_miss_event_precision_fixed_pool|severe_pdr_miss_event_precision_fixed_pool|large_undergrading_event_lift_vs_budget|referable_miss_event_lift_vs_budget|severe_pdr_miss_event_lift_vs_budget|relative_forward_cost_vs_dense_expert|forward_cost_reduction_vs_dense_expert,
v085_registry_outputs,mixed,mixed,mixed,risk_results,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/risk_results_all.csv,true,40,source_protocol|source_output_dir|dataset_id|disease_family|task_id|protocol_family|protocol_name|role|scouts|experts|budget|policy|selected_n|large_undergrading_event_total_fixed_pool|referable_miss_event_total_fixed_pool|severe_pdr_miss_event_total_fixed_pool|large_undergrading_selected_event_n|referable_miss_selected_event_n|severe_pdr_miss_selected_event_n|large_undergrading_residual_event_n|referable_miss_residual_event_n|severe_pdr_miss_residual_event_n|large_undergrading_event_recall_fixed_pool|referable_miss_event_recall_fixed_pool|severe_pdr_miss_event_recall_fixed_pool|large_undergrading_event_precision_fixed_pool|referable_miss_event_precision_fixed_pool|severe_pdr_miss_event_precision_fixed_pool|large_undergrading_event_lift_vs_budget|referable_miss_event_lift_vs_budget|severe_pdr_miss_event_lift_vs_budget|risk_source_mode|source_schema,
v085_registry_outputs,mixed,mixed,mixed,case_audit,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/case_audit_all.csv,true,1863,source_protocol|source_output_dir|dataset_id|disease_family|protocol_id|task_id|budget|policy|image_key|true_label|scout_pred_label|expert_pred_label|routed_pred_label|selected_for_expert|routing_score|routing_rank|scout_correct|expert_correct|routed_correct|expert_corrected|expert_induced_error|case_type|scout_artifact|expert_artifact|case_id|case_group|fixed_events|only_selected_by|efficiency_multiscout_30__scout_pred|efficiency_multiscout_30__expert_pred|efficiency_multiscout_30__final_pred|efficiency_multiscout_30__selected_for_expert|efficiency_multiscout_30__scout_confidence|efficiency_multiscout_30__scout_margin|efficiency_multiscout_30__scout_entropy|efficiency_multiscout_30__routing_score|efficiency_multiscout_30__scout_disagreement|efficiency_multiscout_30__base_correct|efficiency_multiscout_30__expert_correct|efficiency_multiscout_30__final_correct|efficiency_multiscout_30__expert_corrected|efficiency_multiscout_30__expert_induced_error|efficiency_multiscout_30__residual_risk_after_routing|efficiency_multiscout_30__residual_danger_after_routing|safety_convnext_50__scout_pred|safety_convnext_50__expert_pred|safety_convnext_50__final_pred|safety_convnext_50__selected_for_expert|safety_convnext_50__scout_confidence|safety_convnext_50__scout_margin|safety_convnext_50__scout_entropy|safety_convnext_50__routing_score|safety_convnext_50__scout_disagreement|safety_convnext_50__base_correct|safety_convnext_50__expert_correct|safety_convnext_50__final_correct|safety_convnext_50__expert_corrected|safety_convnext_50__expert_induced_error|safety_convnext_50__residual_risk_after_routing|safety_convnext_50__residual_danger_after_routing|safety_swin_50__scout_pred|safety_swin_50__expert_pred|safety_swin_50__final_pred|safety_swin_50__selected_for_expert|safety_swin_50__scout_confidence|safety_swin_50__scout_margin|safety_swin_50__scout_entropy|safety_swin_50__routing_score|safety_swin_50__scout_disagreement|safety_swin_50__base_correct|safety_swin_50__expert_correct|safety_swin_50__final_correct|safety_swin_50__expert_corrected|safety_swin_50__expert_induced_error|safety_swin_50__residual_risk_after_routing|safety_swin_50__residual_danger_after_routing,
v085_registry_outputs,mixed,mixed,mixed,artifact_manifest,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/artifact_manifest.csv,true,8,protocol_id|artifact_name|path|size_bytes|mtime_utc|sha256|created_at_utc,
v085_registry_outputs,mixed,mixed,mixed,cost_summary,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/glaucoma_model_forward_cost_summary.csv,false,,,未发现该类型产物
v085_registry_outputs,mixed,mixed,mixed,summary_html,/data/LRT/ophagent-medical-ai-agent/experiments/v0_8_5_model_registry_scout_expert_protocol/outputs/summary.html,true,,,
