model_id,checkpoint_id,artifact_type,modalities,official_repo,official_commit_or_tag,model_constructor,checkpoint_container,state_dict_key,strict_load,key_transform,input_size,resize,crop,normalization,tokenizer,prompt_template,input_contract,forward_method,output_node,expected_output_shape,output_semantics,official_inference_script,official_downstream_script,official_downstream_config,protocol_verification_status,source_path,source_symbol_or_config_key,conflicts,unresolved_items,contract_path
deretfound,deretfound-pretraining,foundation_encoder,"[""CFP""]",https://github.com/Jonlysun/DERETFound,01835850302e9e248bad8aef5c815c29bff4c360,models_mae.mae_vit_large_patch16,PreTraining/checkpoint-best.pth,model,False,none,"[224, 224]",direct_resize,none,deployed utility.prepare_data behavior,not_applicable,not_applicable,RGB CFP tensor,"model(image, mask_ratio=0.75)","loss, reconstructed_patches, mask","prediction=[1,196,768]; mask=[1,196]",masked image reconstruction,main_finetune.py,main_finetune.py,command_line_arguments,verified,app.py; models_mae.py,run_mae; mae_vit_large_patch16,utility.prepare_data overwrites mean subtraction before division,official preprocessing behavior should be preserved for reproduction,configs/model_runtime/deretfound/deretfound-pretraining.yaml
deretfound,deretfound-sd-retina,generative_model,"[""CFP"", ""text""]",https://github.com/Jonlysun/DERETFound,01835850302e9e248bad8aef5c815c29bff4c360,diffusers.UNet2DConditionModel.from_pretrained,sd-retina-model/checkpoint-60000/unet,diffusion_pytorch_model.bin,handled_by_diffusers,none,"[512, 512]",pipeline_defined,pipeline_defined,latent_space,"Stable Diffusion v1.4 tokenizer, not bundled",disease text prompt,"latent [B,4,64,64] + text condition [B,77,768]",UNet2DConditionModel.forward,sample,"[1, 4, 64, 64]","denoising prediction, not a classification output",README_SD.md inference snippet,README_SD.md inference snippet,diffusers==0.21.4,partially_verified,README_SD.md; embedded unet/config.json,UNet2DConditionModel; cross_attention_dim=768,none,"base SD v1.4 VAE, text encoder, and tokenizer are not bundled",configs/model_runtime/deretfound/deretfound-sd-retina.yaml
eyeclip,eyeclip-default,vision_language_model,"[""CFP"", ""OCT"", ""FFA"", ""ICGA"", ""FAF"", ""ultrasound"", ""external_eye"", ""slit_lamp"", ""specular_microscopy"", ""corneal_photography"", ""RetCam"", ""text""]",https://github.com/Michi-3000/EyeCLIP,2fcf6034552e6006c94bd84cbdc6f4a5897b29c0,eyeclip.model.build_model,torch checkpoint,model_state_dict,True,build_model contract,"[224, 224]",bicubic,center,CLIP mean/std,eyeclip.tokenize,free text,RGB image + tokenized text,encode_image + encode_text,projected image/text embeddings,"image=[1,512]; text=[1,512]",aligned image and text embeddings,official repository examples,official repository examples,not_provided,verified,eyeclip/model.py; eyeclip/clip.py,build_model; _transform; tokenize,none,dataset-specific downstream recipes are incomplete,configs/model_runtime/eyeclip/eyeclip-default.yaml
flair,flair-default,vision_language_model,"[""CFP"", ""text""]",https://github.com/jusiro/FLAIR,d6652d53389ff49e5f73efaccf4246e9de88d1a3,flair.FLAIRModel,safetensors state dictionary,root,True,none,"[512, 512]",preserve_aspect_then_pad_canvas,none,"scale_to_[0,1]",emilyalsentzer/Bio_ClinicalBERT,A fundus photograph of [CLS],RGB array + category text list,FLAIRModel.forward,"probabilities, logits","[1, ""number_of_prompts""]",zero-shot image-text similarities,main_transferability.py,main_transferability.py,command_line_arguments,verified,README.md; flair/modeling/model.py; main_transferability.py,FLAIRModel; preprocess_image; preprocess_text,none,dataset-specific settings live in local_data and require separate audit,configs/model_runtime/flair/flair-default.yaml
fmue,fmue-default,task_checkpoint,"[""OCT""]",https://github.com/yuanyuanpeng0129/FMUE,b07ba8a797d6440826f3870f73faf567963ffc15,vit_model.vit_large_patch16,torch checkpoint,model,True,none,"[224, 224]",bicubic_resize_then_center_crop,center_224,ImageNet mean/std,not_applicable,not_applicable,RGB OCT tensor,forward_features then head,16-class logits,"[1, 16]",original 16-class OCT task logits,inference.py,inference.py,command_line_arguments,verified,inference.py; vit_model.py,vit_large_patch16; num_classes=16,current timm base forward adds attn_mask,not verified as a reusable generic encoder,configs/model_runtime/fmue/fmue-default.yaml
keepfit,keepfit-ffa-ir-mmretinal-ffa,vision_language_model,"[""FFA"", ""text""]",https://github.com/lxirich/MM-Retinal,dbbb1f05b9d27278b01e15e5f837b44b22d32cee,keepfit.modeling.model.KeepFITModel,torch state dictionary,root,True,none,"[512, 512]",preserve_aspect_then_pad_canvas,none,"scale_to_[0,1]",emilyalsentzer/Bio_ClinicalBERT,A fundus fluorescein angiography image of [CLS],FFA image array + category text list,KeepFITModel.forward,probabilities and logits,"[1,number_of_prompts]",zero-shot image-text similarities,repository task scripts,repository task scripts,not_provided,verified,KeepFIT/KeepFIT-CFP/keepfit/modeling/model.py,KeepFITModel,none,FFA-specific prompt wording requires downstream protocol audit,configs/model_runtime/keepfit/keepfit-ffa-ir-mmretinal-ffa.yaml
keepfit,keepfit-flair-mmretinal-cfp,vision_language_model,"[""CFP"", ""text""]",https://github.com/lxirich/MM-Retinal,dbbb1f05b9d27278b01e15e5f837b44b22d32cee,keepfit.modeling.model.KeepFITModel,torch state dictionary,root,True,none,"[512, 512]",preserve_aspect_then_pad_canvas,none,"scale_to_[0,1]",emilyalsentzer/Bio_ClinicalBERT,A fundus photograph of [CLS],CFP image array + category text list,KeepFITModel.forward,probabilities and logits,"[1,number_of_prompts]",zero-shot image-text similarities,repository task scripts,repository task scripts,not_provided,verified,KeepFIT/KeepFIT-CFP/keepfit/modeling/model.py,KeepFITModel,none,dataset-specific transfer settings require separate audit,configs/model_runtime/keepfit/keepfit-flair-mmretinal-cfp.yaml
keepfit,keepfit-half-flair-mmretinal-cfp,ablation_checkpoint,"[""CFP"", ""text""]",https://github.com/lxirich/MM-Retinal,dbbb1f05b9d27278b01e15e5f837b44b22d32cee,keepfit.modeling.model.KeepFITModel,torch state dictionary,root,True,none,"[512, 512]",preserve_aspect_then_pad_canvas,none,"scale_to_[0,1]",emilyalsentzer/Bio_ClinicalBERT,A fundus photograph of [CLS],CFP image array + category text list,KeepFITModel.forward,probabilities and logits,"[1,number_of_prompts]",ablation zero-shot similarities,repository task scripts,repository task scripts,not_provided,verified,KeepFIT/KeepFIT-CFP/keepfit/modeling/model.py,KeepFITModel,none,must remain separated from the default CFP checkpoint,configs/model_runtime/keepfit/keepfit-half-flair-mmretinal-cfp.yaml
mirage,mirage-base,multimodal_full_model,"[""OCT"", ""SLO""]",https://github.com/j-morano/MIRAGE,930523b209dad3dd2eadc7296fb7ce3f3eaa9924,mirage_hf.MIRAGEWrapper,safetensors state dictionary,root,True,remove model. wrapper prefix,"[512, 512]",paired modality resize,none,official wrapper,not_applicable,not_applicable,paired B-scan and SLO tensors,MIRAGEWrapper.forward,multimodal output dictionary,model-defined,paired retinal representation and task outputs,official repository,official repository,model card and scripts,verified,hf/mirage_hf.py,MIRAGEWrapper,GitHub CC-BY-4.0 vs Hugging Face CC-BY-NC-ND-4.0,provider license conflict,configs/model_runtime/mirage/mirage-base.yaml
mirage,mirage-large,multimodal_full_model,"[""OCT"", ""SLO""]",https://github.com/j-morano/MIRAGE,930523b209dad3dd2eadc7296fb7ce3f3eaa9924,mirage_hf.MIRAGEWrapper,safetensors state dictionary,root,True,remove model. wrapper prefix,"[512, 512]",paired modality resize,none,official wrapper,not_applicable,not_applicable,paired B-scan and SLO tensors,MIRAGEWrapper.forward,multimodal output dictionary,model-defined,paired retinal representation and task outputs,official repository,official repository,model card and scripts,verified,hf/mirage_hf.py,MIRAGEWrapper size=large,GitHub CC-BY-4.0 vs Hugging Face CC-BY-NC-ND-4.0,provider license conflict,configs/model_runtime/mirage/mirage-large.yaml
preti,preti-default,foundation_encoder,"[""CFP""]",https://github.com/MICV-yonsei/PRETI,2ac2b0f123d69151877ebd44a33edfb026cdac45,models.PRETI_model.SIAM_MODELS[vitb],torch checkpoint,model,False,ignore unused perceptual training-loss module,"[224, 224]",official transform,official transform,official transform,not_applicable,not_applicable,CFP tensor,forward_encoder,encoder feature,"[1,768]",visual embedding,repository downstream scripts,repository downstream scripts,not_provided,verified,models/PRETI_model.py,SIAM_MODELS[vitb],unused VGG loss module requires isolation,image-only downstream recipe is incomplete,configs/model_runtime/preti/preti-default.yaml
