record_type,task_id,dataset_id,evaluation_design,route_id,scout_id,expert_id,benchmark_split,analysis_split,cohort,comparison_axis,policy,requested_budget,budget_source,risk_cap,risk_cap_met,n_cases,selected_n,realized_budget,corrected_total,introduced_total,corrected_selected,introduced_selected,dangerous_introduced_selected,net_selected,corrected_capture_rate,help_rate_among_consulted,harm_rate_among_consulted,introduced_burden_per_case,scout_accuracy,final_accuracy,cost_protocol_id,cost_comparable,estimated_component_cost_ms_per_case,formal_v1_1_route,policy_may_grant_eligibility,safety_eligibility_gate_required,dataset_id_used_as_predictor,current_case_expert_output_used_for_ranking,test_used_for_fit_threshold_budget_or_route_selection,retrospective_only,comparison_status,route_selected_from_development_only,v1_1_unavailable_reason,locked_comparator_policy,comparator_corrected_selected,comparator_introduced_selected,comparator_net_selected,delta_corrected_selected,delta_introduced_selected,delta_net_selected,corrected_difference_ci_lower,corrected_difference_ci_upper,introduced_difference_ci_lower,introduced_difference_ci_upper,net_difference_ci_lower,net_difference_ci_upper,bootstrap_replicates,bootstrap_group_count,study_decision,source_commit_sha,protocol_sha256,generated_at_utc
policy_availability,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,frozen_v1_1_availability,consultation_policy_baseline_v1_1,,,,,,,,,,,,,,,,,,,,,,,,False,True,,False,False,,not_applicable_no_frozen_route_identity,True,not_a_frozen_single_scout_v1_1_route,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,reference_endpoint,scout_only,0,fixed_grid,,,235,0,0,42,23,0,0,0,0,0,,,0,0.6042553191,0.6042553191,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,reference_endpoint,always_expert,1,fixed_grid,,,235,235,1,42,23,42,23,9,19,1,0.1787234043,0.09787234043,0.09787234043,0.6042553191,0.685106383,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,,,,,,,,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.1,fixed_grid,,,235,24,0.1021276596,42,23,0,0,0,0,0,0,0,0,0.6042553191,0.6042553191,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,11,5,6,-11,-5,-6,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.1,fixed_grid,,,235,24,0.1021276596,42,23,11,5,1,6,0.2619047619,0.4583333333,0.2083333333,0.02127659574,0.6042553191,0.629787234,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,11,5,6,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.1,fixed_grid,,,235,24,0.1021276596,42,23,10,7,4,3,0.2380952381,0.4166666667,0.2916666667,0.02978723404,0.6042553191,0.6170212766,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,11,5,6,-1,2,-3,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.2,fixed_grid,,,235,47,0.2,42,23,5,4,0,1,0.119047619,0.1063829787,0.08510638298,0.0170212766,0.6042553191,0.6085106383,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,18,9,9,-13,-5,-8,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,entropy,0.2,fixed_grid,,,235,47,0.2,42,23,18,9,1,9,0.4285714286,0.3829787234,0.1914893617,0.03829787234,0.6042553191,0.6425531915,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,18,9,9,0,0,0,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,margin,0.2,fixed_grid,,,235,47,0.2,42,23,15,11,6,4,0.3571428571,0.3191489362,0.2340425532,0.04680851064,0.6042553191,0.6212765957,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,entropy,18,9,9,-3,2,-5,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
policy_performance,deepdrid_dr_5class_native,DeepDRiD_v1.1,deepdrid_native_adaptation,deepdrid_dr_5class_native::retfound_green__to__convnext_tiny,retfound_green,convnext_tiny,development,development_oof,deepdrid_patient_grouped_high_quality_route,same_budget,dual_logistic_harm_screened_help,0.3,fixed_grid,,,235,70,0.2978723404,42,23,12,9,2,3,0.2857142857,0.1714285714,0.1285714286,0.03829787234,0.6042553191,0.6170212766,h100_gpu_forward_only_batch16_component_v0_1,False,,False,False,True,False,False,False,False,available,True,,margin,22,13,9,-10,-4,-6,,,,,,,,,NO_IMPROVEMENT,d7d36b66f232e032ca5cf498696194aed4c629b9,2966baf37c6c751dbbd292d71e73d5c3aeadf40ac13e3be3a75065ef2b48c933,2026-07-30T10:49:45+08:00
