record_type,task_id,dataset_id,evaluation_design,route_id,scout_id,expert_id,benchmark_split,analysis_split,cohort,model_component,evaluation_cohort,n_cases,events,prevalence,auroc,auprc,feature_columns,dataset_id_used_as_predictor,current_case_expert_output_used_for_ranking,test_used_for_fit_threshold_budget_or_route_selection,retrospective_only,comparison_axis,policy,requested_budget,budget_source,risk_cap,risk_cap_met,selected_n,realized_budget,corrected_total,introduced_total,corrected_selected,introduced_selected,dangerous_introduced_selected,net_selected,corrected_capture_rate,help_rate_among_consulted,harm_rate_among_consulted,introduced_burden_per_case,scout_accuracy,final_accuracy,cost_protocol_id,cost_comparable,estimated_component_cost_ms_per_case,formal_v1_1_route,policy_may_grant_eligibility,safety_eligibility_gate_required,locked_comparator_policy,comparator_corrected_selected,delta_corrected_selected,comparator_introduced_selected,delta_introduced_selected,comparator_net_selected,delta_net_selected,comparator_selected_n,delta_selected_n,corrected_difference_ci_lower,corrected_difference_ci_upper,introduced_difference_ci_lower,introduced_difference_ci_upper,net_difference_ci_lower,net_difference_ci_upper,bootstrap_replicates,bootstrap_group_count
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,all_cases,485,15,0.03092783505,0.7733333333,0.1081422279,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,scout_wrong_only,72,15,0.2083333333,0.5532163743,0.3022346351,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,all_cases,485,133,0.2742268041,0.6958518455,0.431383101,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,scout_correct_only,413,133,0.3220338983,0.7724758324,0.6225684039,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,all_cases,1036,34,0.03281853282,0.806123048,0.1028814978,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,scout_wrong_only,164,34,0.2073170732,0.5624434389,0.2424713323,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,all_cases,1036,300,0.2895752896,0.7121467391,0.4686078615,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__eyeclip_cfp,convnext_tiny,eyeclip_cfp,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,scout_correct_only,872,300,0.3440366972,0.801958042,0.6744327345,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,all_cases,485,38,0.07835051546,0.8061344637,0.2103766782,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,scout_wrong_only,72,38,0.5277777778,0.5147058824,0.6074158418,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,all_cases,485,53,0.1092783505,0.7980433263,0.2862488092,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,development,development_oof,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,scout_correct_only,413,53,0.1283292978,0.8470649895,0.4547265159,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,all_cases,1036,82,0.07915057915,0.8238993711,0.258196762,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,corrected_logistic,scout_wrong_only,164,82,0.5,0.5538370018,0.5732211728,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,all_cases,1036,98,0.09459459459,0.8061659632,0.2538512355,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_discrimination,aptos_dr_5class,APTOS2019,aptos_task_adaptation,aptos_dr_5class::convnext_tiny__to__flair,convnext_tiny,flair,retrospective_frozen,retrospective_evaluation,aptos_exact_duplicate_excluded_image_sensitivity,introduced_logistic,scout_correct_only,872,98,0.1123853211,0.8462136793,0.3796344581,scout_entropy|scout_margin|scout_severe_probability_mass|expert_history_corrected_rate|expert_history_introduced_rate|scout_reference_js_divergence,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
