model_id,checkpoint_id,track,dataset,split_method,patient_level_split,preprocessing,classifier_head,frozen_or_finetuned,optimizer,learning_rate,weight_decay,batch_size,epochs,scheduler,augmentations,seed,checkpoint_selection,evaluation_metrics,source_evidence,verification_status
deretfound,deretfound-pretraining,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [224, 224], ""normalization"": ""deployed utility.prepare_data behavior"", ""prompt_template"": ""not_applicable"", ""resize"": ""direct_resize"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,main_finetune.py,partially_verified
deretfound,deretfound-pretraining,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
deretfound,deretfound-sd-retina,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""pipeline_defined"", ""input_size"": [512, 512], ""normalization"": ""latent_space"", ""prompt_template"": ""disease text prompt"", ""resize"": ""pipeline_defined"", ""tokenizer"": ""Stable Diffusion v1.4 tokenizer, not bundled""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,README_SD.md inference snippet,not_provided
deretfound,deretfound-sd-retina,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
eyeclip,eyeclip-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""center"", ""input_size"": [224, 224], ""normalization"": ""CLIP mean/std"", ""prompt_template"": ""free text"", ""resize"": ""bicubic"", ""tokenizer"": ""eyeclip.tokenize""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,official repository examples,partially_verified
eyeclip,eyeclip-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
flair,flair-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [512, 512], ""normalization"": ""scale_to_[0,1]"", ""prompt_template"": ""A fundus photograph of [CLS]"", ""resize"": ""preserve_aspect_then_pad_canvas"", ""tokenizer"": ""emilyalsentzer/Bio_ClinicalBERT""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,main_transferability.py,partially_verified
flair,flair-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
fmue,fmue-default,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""center_224"", ""input_size"": [224, 224], ""normalization"": ""ImageNet mean/std"", ""prompt_template"": ""not_applicable"", ""resize"": ""bicubic_resize_then_center_crop"", ""tokenizer"": ""not_applicable""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,inference.py,partially_verified
fmue,fmue-default,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
keepfit,keepfit-ffa-ir-mmretinal-ffa,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [512, 512], ""normalization"": ""scale_to_[0,1]"", ""prompt_template"": ""A fundus fluorescein angiography image of [CLS]"", ""resize"": ""preserve_aspect_then_pad_canvas"", ""tokenizer"": ""emilyalsentzer/Bio_ClinicalBERT""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository task scripts,partially_verified
keepfit,keepfit-ffa-ir-mmretinal-ffa,unified_transfer_track,not_defined,not_defined,not_defined,project_protocol_pending,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,not_defined,OphAgent unified protocol has not been frozen,not_provided
keepfit,keepfit-flair-mmretinal-cfp,native_official_track,not_provided,not_provided,not_provided,"{""crop"": ""none"", ""input_size"": [512, 512], ""normalization"": ""scale_to_[0,1]"", ""prompt_template"": ""A fundus photograph of [CLS]"", ""resize"": ""preserve_aspect_then_pad_canvas"", ""tokenizer"": ""emilyalsentzer/Bio_ClinicalBERT""}",not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,not_provided,repository task scripts,partially_verified
